game_date,batter,first_name,last_name,estimated_woba_using_speedangle,woba_value,woba_denom,diff_OBA,rolling_100PA_diff_OBA,rolling_100PA_xwOBA,rolling_100PA_wOBA,diff_rolling_OBA
2024-04-03,642133,rowdy,tellez,0.689131,0.7,1,-0.010868999999999907,0.0032786000000000564,0.42327860000000006,0.41999999999999993,0.0032786000000001314
2024-04-04,642133,rowdy,tellez,0.689131,0.7,1,-0.010868999999999907,0.0009206666666667293,0.46758733333333335,0.4666666666666666,0.0009206666666667362
2024-04-04,642133,rowdy,tellez,1.387,0.0,1,1.387,0.19893200000000005,0.5989320000000001,0.39999999999999997,0.19893200000000016
2024-04-04,642133,rowdy,tellez,0.863,0.9,1,-0.03700000000000003,0.16944050000000005,0.6319405,0.46249999999999997,0.16944050000000005
2024-04-04,642133,rowdy,tellez,0.016,0.0,1,0.016,0.15239155555555559,0.5635026666666667,0.4111111111111111,0.1523915555555556
2024-04-04,642133,rowdy,tellez,0.215,0.9,1,-0.685,0.06865240000000003,0.5286524,0.45999999999999996,0.06865240000000006
2024-04-05,642133,rowdy,tellez,0.0,0.0,1,0.0,0.06241127272727275,0.4805930909090909,0.41818181818181815,0.06241127272727276
2024-04-05,642133,rowdy,tellez,0.0,0.0,1,0.0,0.057210333333333356,0.44054366666666667,0.3833333333333333,0.05721033333333336
2024-04-05,642133,rowdy,tellez,0.537,0.0,1,0.537,0.09411723076923079,0.4479633846153846,0.3538461538461538,0.09411723076923079
2024-04-05,642133,rowdy,tellez,0.162,0.0,1,0.162,0.09896600000000001,0.42753742857142857,0.32857142857142857,0.098966
2024-04-06,642133,rowdy,tellez,0.003,0.0,1,0.003,0.09256826666666669,0.3992349333333333,0.30666666666666664,0.09256826666666668
2024-04-06,642133,rowdy,tellez,0.717,0.9,1,-0.18300000000000005,0.07534525000000002,0.41909525000000003,0.34375,0.07534525000000003
2024-04-06,642133,rowdy,tellez,0.689131,0.7,1,-0.010868999999999907,0.07027382352941178,0.43497970588235296,0.3647058823529412,0.07027382352941175
2024-04-06,642133,rowdy,tellez,0.765,0.9,1,-0.135,0.05886972222222223,0.4533141666666667,0.39444444444444443,0.058869722222222254
2024-04-06,642133,rowdy,tellez,0.429,0.9,1,-0.47100000000000003,0.030981842105263172,0.45203447368421057,0.42105263157894735,0.030981842105263224
2024-04-07,642133,rowdy,tellez,0.173,0.0,1,0.173,0.03808275000000001,0.4380827500000001,0.4,0.038082750000000054
2024-04-07,642133,rowdy,tellez,0.689,0.0,1,0.689,0.06907880952380954,0.45003119047619045,0.38095238095238093,0.06907880952380951
2024-04-07,642133,rowdy,tellez,0.0,0.0,1,0.0,0.06593886363636364,0.42957522727272723,0.36363636363636365,0.06593886363636359
2024-04-07,642133,rowdy,tellez,0.121,0.0,1,0.121,0.06833282608695654,0.41615891304347824,0.34782608695652173,0.06833282608695651
2024-04-08,642133,rowdy,tellez,0.059,0.0,1,0.059,0.06794395833333335,0.4012772916666667,0.3333333333333333,0.06794395833333339
2024-04-08,642133,rowdy,tellez,0.871,0.9,1,-0.029000000000000026,0.06406620000000002,0.4200662,0.35600000000000004,0.06406619999999996
2024-04-08,642133,rowdy,tellez,0.720192,0.7,1,0.0201920000000001,0.06237873076923078,0.43160950000000003,0.3692307692307692,0.06237873076923084
2024-04-08,642133,rowdy,tellez,0.132,0.0,1,0.132,0.0649572962962963,0.42051285185185183,0.35555555555555557,0.06495729629629626
2024-04-09,642133,rowdy,tellez,0.541,0.9,1,-0.359,0.0498159642857143,0.4248159642857143,0.375,0.049815964285714276
2024-04-09,642133,rowdy,tellez,0.381,0.0,1,0.381,0.061236103448275875,0.4233050689655173,0.3620689655172414,0.0612361034482759
2024-04-09,642133,rowdy,tellez,0.0,0.0,1,0.0,0.059194900000000016,0.40919490000000003,0.35,0.05919490000000005
2024-04-09,642133,rowdy,tellez,0.06,0.0,1,0.06,0.059220870967741944,0.3979305483870968,0.3387096774193548,0.05922087096774198
2024-04-11,642133,rowdy,tellez,0.003,0.0,1,0.003,0.05746396875000001,0.38558896875,0.328125,0.05746396874999998
2024-04-12,642133,rowdy,tellez,0.449,0.0,1,0.449,0.06932869696969697,0.3875105151515152,0.3181818181818182,0.06932869696969701
2024-04-13,642133,rowdy,tellez,0.0,0.0,1,0.0,0.06728961764705883,0.37611314705882354,0.3088235294117647,0.06728961764705882
2024-04-13,642133,rowdy,tellez,0.0,0.0,1,0.0,0.06536705714285715,0.36536705714285717,0.3,0.06536705714285718
2024-04-13,642133,rowdy,tellez,0.062,0.0,1,0.062,0.06527352777777778,0.35694019444444447,0.2916666666666667,0.06527352777777778
2024-04-13,642133,rowdy,tellez,0.022,0.0,1,0.022,0.06410397297297298,0.34788775675675676,0.28378378378378377,0.06410397297297299
2024-04-14,642133,rowdy,tellez,0.182,0.0,1,0.182,0.0672065,0.34352228947368424,0.27631578947368424,0.0672065
2024-04-14,642133,rowdy,tellez,0.0,0.0,1,0.0,0.06548325641025642,0.33471402564102565,0.2692307692307692,0.06548325641025643
2024-04-14,642133,rowdy,tellez,0.689131,0.7,1,-0.010868999999999907,0.06357445000000002,0.34357445000000003,0.27999999999999997,0.06357445000000006
2024-04-14,642133,rowdy,tellez,0.669,0.9,1,-0.23099999999999998,0.05638970731707318,0.3515116585365854,0.2951219512195122,0.05638970731707321
2024-04-14,642133,rowdy,tellez,0.686,0.9,1,-0.21399999999999997,0.04995185714285715,0.3594756666666667,0.30952380952380953,0.04995185714285716
2024-04-15,642133,rowdy,tellez,0.0,0.0,1,0.0,0.048790186046511634,0.3511157674418605,0.3023255813953488,0.0487901860465117
